objectName 
3 
x 
y 
gravity value 
0.3 0.3 0.56814159 
0.3 0.4 0.59383496 
0.3 0.5 0.60886796 
0.4 0.3 0.62428153 
0.4 0.4 0.66008635 
0.4 0.5 0.68465094 
0.5 0.3 0.66774684 
0.5 0.4 0.71423841 
0.5 0.5 0.74941563 
0.600000023842 0.600000023842 0.831424 
0.699999988079 0.699999988079 0.90136396 
0.800000011921 0.800000011921 0.95489504 
0.900000035763 0.900000035763 0.98852785 
1.0 1.0 1.0 
1.10000002384 1.10000002384 0.98852785 
1.20000004768 1.20000004768 0.95489504 
1.30000007153 1.30000007153 0.90136396 
1.39999997616 1.39999997616 0.831424 
